"Year","State","Population_in_Thousands"
"1958","AK",224
"1959","AK",224
"1960","AK",229
"1961","AK",238
"1962","AK",246
"1963","AK",256
"1964","AK",263
"1965","AK",271
"1966","AK",271
"1967","AK",278
"1968","AK",285
"1969","AK",296
"1970","AK",302.583
"1971","AK",315.51
"1972","AK",324.464
"1973","AK",330.543
"1974","AK",341.063
"1975","AK",376.17
"1976","AK",400.969
"1977","AK",403.436
"1978","AK",404.766
"1979","AK",402.753
"1980","AK",405.315
"1981","AK",418.491
"1982","AK",449.606
"1983","AK",488.417
"1984","AK",513.702
"1985","AK",532.495
"1986","AK",544.268
"1987","AK",539.309
"1988","AK",541.983
"1989","AK",547.159
"1990","AK",553.12
"1991","AK",569.273
"1992","AK",587.073
"1993","AK",596.993
"1994","AK",600.624
"1995","AK",601.345
"1996","AK",604.918
"1997","AK",608.846
"1998","AK",615.205
"1999","AK",619.5
"2000","AK",627.963
"2001","AK",633.714
"2002","AK",642.337
"2003","AK",648.414
"2004","AK",659.286
"2005","AK",666.946
"2006","AK",675.302
"2007","AK",680.3
"2008","AK",687.455
"2009","AK",698.895
"2010","AK",713.91
"2011","AK",722.128
"2012","AK",730.443
"2013","AK",737.068
"2014","AK",736.283
"2015","AK",737.498
"2016","AK",741.456
"2017","AK",739.7
"2018","AK",735.139
"2019","AK",731.545
"1958","AL",3163
"1959","AL",3204
"1960","AL",3274
"1961","AL",3316
"1962","AL",3323
"1963","AL",3358
"1964","AL",3395
"1965","AL",3443
"1966","AL",3464
"1967","AL",3458
"1968","AL",3446
"1969","AL",3440
"1970","AL",3444.354
"1971","AL",3497.076
"1972","AL",3539.4
"1973","AL",3579.78
"1974","AL",3626.499
"1975","AL",3678.814
"1976","AL",3735.139
"1977","AL",3780.403
"1978","AL",3831.836
"1979","AL",3866.248
"1980","AL",3900.368
"1981","AL",3918.531
"1982","AL",3925.266
"1983","AL",3934.102
"1984","AL",3951.82
"1985","AL",3972.523
"1986","AL",3991.569
"1987","AL",4015.264
"1988","AL",4023.844
"1989","AL",4030.222
"1990","AL",4048.508
"1991","AL",4091.025
"1992","AL",4139.269
"1993","AL",4193.114
"1994","AL",4232.965
"1995","AL",4262.731
"1996","AL",4290.403
"1997","AL",4320.281
"1998","AL",4351.037
"1999","AL",4369.862
"2000","AL",4452.173
"2001","AL",4467.634
"2002","AL",4480.089
"2003","AL",4503.491
"2004","AL",4530.729
"2005","AL",4569.805
"2006","AL",4628.981
"2007","AL",4672.84
"2008","AL",4718.206
"2009","AL",4757.938
"2010","AL",4785.437
"2011","AL",4799.069
"2012","AL",4815.588
"2013","AL",4830.081
"2014","AL",4841.799
"2015","AL",4852.347
"2016","AL",4863.525
"2017","AL",4874.486
"2018","AL",4887.681
"2019","AL",4903.185
"1958","AR",1726
"1959","AR",1756
"1960","AR",1789
"1961","AR",1806
"1962","AR",1853
"1963","AR",1875
"1964","AR",1897
"1965","AR",1894
"1966","AR",1899
"1967","AR",1901
"1968","AR",1902
"1969","AR",1913
"1970","AR",1923.322
"1971","AR",1972.312
"1972","AR",2018.638
"1973","AR",2059.256
"1974","AR",2101.403
"1975","AR",2159.526
"1976","AR",2170.161
"1977","AR",2209.01
"1978","AR",2243.127
"1979","AR",2271.333
"1980","AR",2288.738
"1981","AR",2293.201
"1982","AR",2294.257
"1983","AR",2305.761
"1984","AR",2319.768
"1985","AR",2327.046
"1986","AR",2331.984
"1987","AR",2342.355
"1988","AR",2342.656
"1989","AR",2346.358
"1990","AR",2354.343
"1991","AR",2370.666
"1992","AR",2394.098
"1993","AR",2423.743
"1994","AR",2450.605
"1995","AR",2480.121
"1996","AR",2504.858
"1997","AR",2524.007
"1998","AR",2538.202
"1999","AR",2551.373
"2000","AR",2678.588
"2001","AR",2691.571
"2002","AR",2705.927
"2003","AR",2724.816
"2004","AR",2749.686
"2005","AR",2781.097
"2006","AR",2821.761
"2007","AR",2848.65
"2008","AR",2874.554
"2009","AR",2896.843
"2010","AR",2921.964
"2011","AR",2940.667
"2012","AR",2952.164
"2013","AR",2959.4
"2014","AR",2967.392
"2015","AR",2978.048
"2016","AR",2989.918
"2017","AR",3001.345
"2018","AR",3009.733
"2019","AR",3017.804
"1958","AZ",1193
"1959","AZ",1261
"1960","AZ",1321
"1961","AZ",1407
"1962","AZ",1471
"1963","AZ",1521
"1964","AZ",1556
"1965","AZ",1584
"1966","AZ",1614
"1967","AZ",1646
"1968","AZ",1682
"1969","AZ",1737
"1970","AZ",1775.399
"1971","AZ",1895.814
"1972","AZ",2008.291
"1973","AZ",2124.438
"1974","AZ",2223.196
"1975","AZ",2284.847
"1976","AZ",2346.157
"1977","AZ",2425.197
"1978","AZ",2515.316
"1979","AZ",2635.571
"1980","AZ",2737.774
"1981","AZ",2810.107
"1982","AZ",2889.861
"1983","AZ",2968.925
"1984","AZ",3067.135
"1985","AZ",3183.538
"1986","AZ",3308.262
"1987","AZ",3437.103
"1988","AZ",3535.183
"1989","AZ",3622.185
"1990","AZ",3679.056
"1991","AZ",3762.394
"1992","AZ",3867.333
"1993","AZ",3993.39
"1994","AZ",4147.561
"1995","AZ",4306.908
"1996","AZ",4432.308
"1997","AZ",4552.207
"1998","AZ",4667.277
"1999","AZ",4778.332
"2000","AZ",5160.586
"2001","AZ",5273.477
"2002","AZ",5396.255
"2003","AZ",5510.364
"2004","AZ",5652.404
"2005","AZ",5839.077
"2006","AZ",6029.141
"2007","AZ",6167.681
"2008","AZ",6280.362
"2009","AZ",6343.154
"2010","AZ",6407.172
"2011","AZ",6472.643
"2012","AZ",6554.978
"2013","AZ",6632.764
"2014","AZ",6730.413
"2015","AZ",6829.676
"2016","AZ",6941.072
"2017","AZ",7044.008
"2018","AZ",7158.024
"2019","AZ",7278.717
"1958","CA",14880
"1959","CA",15467
"1960","CA",15870
"1961","CA",16497
"1962","CA",17072
"1963","CA",17668
"1964","CA",18151
"1965","CA",18585
"1966","CA",18858
"1967","CA",19176
"1968","CA",19394
"1969","CA",19711
"1970","CA",19971.069
"1971","CA",20345.939
"1972","CA",20585.469
"1973","CA",20868.728
"1974","CA",21173.865
"1975","CA",21537.849
"1976","CA",21935.909
"1977","CA",22352.396
"1978","CA",22835.958
"1979","CA",23256.88
"1980","CA",23800.8
"1981","CA",24285.933
"1982","CA",24820.009
"1983","CA",25360.026
"1984","CA",25844.393
"1985","CA",26441.109
"1986","CA",27102.237
"1987","CA",27777.158
"1988","CA",28464.249
"1989","CA",29218.164
"1990","CA",29950.111
"1991","CA",30414.114
"1992","CA",30875.92
"1993","CA",31147.208
"1994","CA",31317.179
"1995","CA",31493.525
"1996","CA",31780.829
"1997","CA",32217.708
"1998","CA",32682.794
"1999","CA",33145.121
"2000","CA",33987.977
"2001","CA",34479.458
"2002","CA",34871.843
"2003","CA",35253.159
"2004","CA",35574.576
"2005","CA",35827.943
"2006","CA",36021.202
"2007","CA",36250.311
"2008","CA",36604.337
"2009","CA",36961.229
"2010","CA",37319.502
"2011","CA",37638.369
"2012","CA",37948.8
"2013","CA",38260.787
"2014","CA",38596.972
"2015","CA",38918.045
"2016","CA",39167.117
"2017","CA",39358.497
"2018","CA",39461.588
"2019","CA",39512.223
"1958","CO",1667
"1959","CO",1710
"1960","CO",1769
"1961","CO",1844
"1962","CO",1899
"1963","CO",1936
"1964","CO",1970
"1965","CO",1985
"1966","CO",2007
"1967","CO",2053
"1968","CO",2120
"1969","CO",2166
"1970","CO",2209.596
"1971","CO",2303.524
"1972","CO",2404.619
"1973","CO",2495.868
"1974","CO",2541.406
"1975","CO",2586.192
"1976","CO",2632.306
"1977","CO",2696.14
"1978","CO",2766.748
"1979","CO",2849.234
"1980","CO",2908.803
"1981","CO",2977.898
"1982","CO",3061.564
"1983","CO",3133.63
"1984","CO",3169.992
"1985","CO",3208.723
"1986","CO",3237.45
"1987","CO",3260.48
"1988","CO",3262.281
"1989","CO",3275.818
"1990","CO",3303.862
"1991","CO",3367.567
"1992","CO",3459.995
"1993","CO",3560.884
"1994","CO",3653.91
"1995","CO",3738.061
"1996","CO",3812.716
"1997","CO",3891.293
"1998","CO",3968.967
"1999","CO",4056.133
"2000","CO",4326.921
"2001","CO",4425.687
"2002","CO",4490.406
"2003","CO",4528.732
"2004","CO",4575.013
"2005","CO",4631.888
"2006","CO",4720.423
"2007","CO",4803.868
"2008","CO",4889.73
"2009","CO",4972.195
"2010","CO",5047.349
"2011","CO",5121.108
"2012","CO",5192.647
"2013","CO",5269.035
"2014","CO",5350.101
"2015","CO",5450.623
"2016","CO",5539.215
"2017","CO",5611.885
"2018","CO",5691.287
"2019","CO",5758.736
"1958","CT",2446
"1959","CT",2523
"1960","CT",2544
"1961","CT",2586
"1962","CT",2647
"1963","CT",2727
"1964","CT",2798
"1965","CT",2857
"1966","CT",2903
"1967","CT",2935
"1968","CT",2964
"1969","CT",3000
"1970","CT",3032.217
"1971","CT",3060.938
"1972","CT",3068.699
"1973","CT",3067.814
"1974","CT",3074.047
"1975","CT",3082.5
"1976","CT",3083.335
"1977","CT",3085.722
"1978","CT",3091.627
"1979","CT",3095.917
"1980","CT",3113.174
"1981","CT",3128.836
"1982","CT",3139.013
"1983","CT",3162.354
"1984","CT",3180.014
"1985","CT",3201.131
"1986","CT",3223.74
"1987","CT",3247.291
"1988","CT",3271.953
"1989","CT",3283.403
"1990","CT",3289.056
"1991","CT",3288.64
"1992","CT",3274.997
"1993","CT",3272.325
"1994","CT",3268.346
"1995","CT",3265.293
"1996","CT",3267.03
"1997","CT",3268.514
"1998","CT",3272.563
"1999","CT",3282.031
"2000","CT",3411.777
"2001","CT",3432.835
"2002","CT",3458.749
"2003","CT",3484.336
"2004","CT",3496.094
"2005","CT",3506.956
"2006","CT",3517.46
"2007","CT",3527.27
"2008","CT",3545.579
"2009","CT",3561.807
"2010","CT",3579.114
"2011","CT",3588.283
"2012","CT",3594.547
"2013","CT",3594.841
"2014","CT",3594.524
"2015","CT",3587.122
"2016","CT",3578.141
"2017","CT",3573.297
"2018","CT",3571.52
"2019","CT",3565.287
"1958","DE",433
"1959","DE",441
"1960","DE",449
"1961","DE",461
"1962","DE",469
"1963","DE",483
"1964","DE",497
"1965","DE",507
"1966","DE",516
"1967","DE",525
"1968","DE",534
"1969","DE",540
"1970","DE",548.104
"1971","DE",564.708
"1972","DE",572.913
"1973","DE",577.759
"1974","DE",581.418
"1975","DE",586.589
"1976","DE",590.166
"1977","DE",591.829
"1978","DE",594.776
"1979","DE",594.984
"1980","DE",594.919
"1981","DE",595.975
"1982","DE",599.148
"1983","DE",605.458
"1984","DE",611.565
"1985","DE",618.28
"1986","DE",627.559
"1987","DE",636.947
"1988","DE",647.622
"1989","DE",658.273
"1990","DE",669.063
"1991","DE",680.495
"1992","DE",690.158
"1993","DE",699.475
"1994","DE",708.416
"1995","DE",718.265
"1996","DE",727.09
"1997","DE",735.024
"1998","DE",744.066
"1999","DE",753.538
"2000","DE",786.373
"2001","DE",795.699
"2002","DE",806.169
"2003","DE",818.003
"2004","DE",830.803
"2005","DE",845.15
"2006","DE",859.268
"2007","DE",871.749
"2008","DE",883.874
"2009","DE",891.73
"2010","DE",899.593
"2011","DE",907.381
"2012","DE",915.179
"2013","DE",923.576
"2014","DE",932.487
"2015","DE",941.252
"2016","DE",948.921
"2017","DE",956.823
"2018","DE",965.479
"2019","DE",973.764
"1958","FL",4630
"1959","FL",4808
"1960","FL",5004
"1961","FL",5243
"1962","FL",5458
"1963","FL",5628
"1964","FL",5781
"1965","FL",5954
"1966","FL",6104
"1967","FL",6242
"1968","FL",6433
"1969","FL",6641
"1970","FL",6791.418
"1971","FL",7158.304
"1972","FL",7511.463
"1973","FL",7913.696
"1974","FL",8298.762
"1975","FL",8518.422
"1976","FL",8667.379
"1977","FL",8856.183
"1978","FL",9102.032
"1979","FL",9426.159
"1980","FL",9839.835
"1981","FL",10192.774
"1982","FL",10471.407
"1983","FL",10749.851
"1984","FL",11039.925
"1985","FL",11351.118
"1986","FL",11667.505
"1987","FL",11997.283
"1988","FL",12306.395
"1989","FL",12637.715
"1990","FL",13018.365
"1991","FL",13289.497
"1992","FL",13504.775
"1993","FL",13713.593
"1994","FL",13961.798
"1995","FL",14185.403
"1996","FL",14426.911
"1997","FL",14683.35
"1998","FL",14908.23
"1999","FL",15111.244
"2000","FL",16047.515
"2001","FL",16356.966
"2002","FL",16689.37
"2003","FL",17004.085
"2004","FL",17415.318
"2005","FL",17842.038
"2006","FL",18166.99
"2007","FL",18367.842
"2008","FL",18527.305
"2009","FL",18652.644
"2010","FL",18845.537
"2011","FL",19053.237
"2012","FL",19297.822
"2013","FL",19545.621
"2014","FL",19845.911
"2015","FL",20209.042
"2016","FL",20613.477
"2017","FL",20963.613
"2018","FL",21244.317
"2019","FL",21477.737
"1958","GA",3804
"1959","GA",3868
"1960","GA",3956
"1961","GA",4015
"1962","GA",4086
"1963","GA",4172
"1964","GA",4258
"1965","GA",4332
"1966","GA",4379
"1967","GA",4408
"1968","GA",4482
"1969","GA",4551
"1970","GA",4587.93
"1971","GA",4711.55
"1972","GA",4809.49
"1973","GA",4910.374
"1974","GA",4999.419
"1975","GA",5064.075
"1976","GA",5132.812
"1977","GA",5219.697
"1978","GA",5295.751
"1979","GA",5401.384
"1980","GA",5486.174
"1981","GA",5568.345
"1982","GA",5649.792
"1983","GA",5728.25
"1984","GA",5834.954
"1985","GA",5962.661
"1986","GA",6084.666
"1987","GA",6208.467
"1988","GA",6316.142
"1989","GA",6411.099
"1990","GA",6506.531
"1991","GA",6621.279
"1992","GA",6759.474
"1993","GA",6894.092
"1994","GA",7045.9
"1995","GA",7188.538
"1996","GA",7332.225
"1997","GA",7486.094
"1998","GA",7636.522
"1999","GA",7788.24
"2000","GA",8227.303
"2001","GA",8377.038
"2002","GA",8508.256
"2003","GA",8622.793
"2004","GA",8769.252
"2005","GA",8925.922
"2006","GA",9155.813
"2007","GA",9349.988
"2008","GA",9504.843
"2009","GA",9620.846
"2010","GA",9711.881
"2011","GA",9802.431
"2012","GA",9901.43
"2013","GA",9972.479
"2014","GA",10067.278
"2015","GA",10178.447
"2016","GA",10301.89
"2017","GA",10410.33
"2018","GA",10511.131
"2019","GA",10617.423
"1958","HI",605
"1959","HI",622
"1960","HI",642
"1961","HI",659
"1962","HI",684
"1963","HI",682
"1964","HI",700
"1965","HI",704
"1966","HI",710
"1967","HI",723
"1968","HI",734
"1969","HI",750
"1970","HI",769.913
"1971","HI",801.644
"1972","HI",828.331
"1973","HI",851.595
"1974","HI",867.978
"1975","HI",886.16
"1976","HI",904.191
"1977","HI",918.259
"1978","HI",931.584
"1979","HI",953.306
"1980","HI",967.71
"1981","HI",978.195
"1982","HI",993.78
"1983","HI",1012.717
"1984","HI",1027.922
"1985","HI",1039.698
"1986","HI",1051.762
"1987","HI",1067.918
"1988","HI",1079.828
"1989","HI",1094.588
"1990","HI",1112.703
"1991","HI",1131.412
"1992","HI",1149.926
"1993","HI",1161.508
"1994","HI",1173.903
"1995","HI",1180.49
"1996","HI",1184.434
"1997","HI",1189.322
"1998","HI",1190.472
"1999","HI",1185.497
"2000","HI",1213.519
"2001","HI",1225.948
"2002","HI",1239.613
"2003","HI",1251.154
"2004","HI",1273.569
"2005","HI",1292.729
"2006","HI",1309.731
"2007","HI",1315.675
"2008","HI",1332.213
"2009","HI",1346.717
"2010","HI",1363.963
"2011","HI",1379.329
"2012","HI",1394.804
"2013","HI",1408.243
"2014","HI",1414.538
"2015","HI",1422.052
"2016","HI",1427.559
"2017","HI",1424.393
"2018","HI",1420.593
"2019","HI",1415.872
"1958","IA",2708
"1959","IA",2729
"1960","IA",2756
"1961","IA",2756
"1962","IA",2750
"1963","IA",2747
"1964","IA",2746
"1965","IA",2742
"1966","IA",2762
"1967","IA",2793
"1968","IA",2803
"1969","IA",2805
"1970","IA",2825.368
"1971","IA",2851.705
"1972","IA",2860.287
"1973","IA",2863.715
"1974","IA",2867.53
"1975","IA",2880.847
"1976","IA",2903.082
"1977","IA",2913.573
"1978","IA",2918.069
"1979","IA",2915.739
"1980","IA",2914.018
"1981","IA",2907.983
"1982","IA",2888.189
"1983","IA",2870.543
"1984","IA",2858.618
"1985","IA",2829.684
"1986","IA",2791.97
"1987","IA",2767.011
"1988","IA",2768.388
"1989","IA",2770.592
"1990","IA",2779.769
"1991","IA",2791.227
"1992","IA",2806.923
"1993","IA",2820.525
"1994","IA",2829.422
"1995","IA",2840.86
"1996","IA",2848.473
"1997","IA",2854.396
"1998","IA",2861.025
"1999","IA",2869.413
"2000","IA",2929.067
"2001","IA",2931.997
"2002","IA",2934.234
"2003","IA",2941.999
"2004","IA",2953.635
"2005","IA",2964.454
"2006","IA",2982.644
"2007","IA",2999.212
"2008","IA",3016.734
"2009","IA",3032.87
"2010","IA",3050.745
"2011","IA",3066.336
"2012","IA",3076.19
"2013","IA",3092.997
"2014","IA",3109.35
"2015","IA",3120.96
"2016","IA",3131.371
"2017","IA",3141.55
"2018","IA",3148.618
"2019","IA",3155.07
"1958","ID",646
"1959","ID",657
"1960","ID",671
"1961","ID",684
"1962","ID",692
"1963","ID",683
"1964","ID",680
"1965","ID",686
"1966","ID",689
"1967","ID",688
"1968","ID",695
"1969","ID",707
"1970","ID",713.015
"1971","ID",738.753
"1972","ID",763.237
"1973","ID",782.074
"1974","ID",807.99
"1975","ID",831.982
"1976","ID",856.983
"1977","ID",883.469
"1978","ID",910.69
"1979","ID",932.627
"1980","ID",947.983
"1981","ID",962.204
"1982","ID",973.721
"1983","ID",981.869
"1984","ID",990.839
"1985","ID",994.051
"1986","ID",990.224
"1987","ID",984.997
"1988","ID",985.664
"1989","ID",994.416
"1990","ID",1011.882
"1991","ID",1038.915
"1992","ID",1066.49
"1993","ID",1101.204
"1994","ID",1135.459
"1995","ID",1165
"1996","ID",1187.706
"1997","ID",1210.638
"1998","ID",1230.923
"1999","ID",1251.7
"2000","ID",1299.43
"2001","ID",1319.962
"2002","ID",1340.372
"2003","ID",1363.38
"2004","ID",1391.802
"2005","ID",1428.241
"2006","ID",1468.669
"2007","ID",1505.105
"2008","ID",1534.32
"2009","ID",1554.439
"2010","ID",1570.746
"2011","ID",1583.91
"2012","ID",1595.324
"2013","ID",1611.206
"2014","ID",1631.112
"2015","ID",1651.059
"2016","ID",1682.38
"2017","ID",1717.715
"2018","ID",1750.536
"2019","ID",1787.065
"1958","IL",9886
"1959","IL",9986
"1960","IL",10086
"1961","IL",10130
"1962","IL",10280
"1963","IL",10402
"1964","IL",10580
"1965","IL",10693
"1966","IL",10836
"1967","IL",10947
"1968","IL",10995
"1969","IL",11039
"1970","IL",11110.285
"1971","IL",11202.397
"1972","IL",11251.948
"1973","IL",11251.367
"1974","IL",11262.145
"1975","IL",11291.743
"1976","IL",11342.853
"1977","IL",11386.316
"1978","IL",11412.561
"1979","IL",11396.837
"1980","IL",11434.702
"1981","IL",11443.458
"1982","IL",11423.412
"1983","IL",11408.818
"1984","IL",11412.132
"1985","IL",11399.806
"1986","IL",11387.257
"1987","IL",11391.178
"1988","IL",11390.183
"1989","IL",11409.782
"1990","IL",11446.979
"1991","IL",11535.973
"1992","IL",11635.197
"1993","IL",11725.984
"1994","IL",11804.986
"1995","IL",11884.935
"1996","IL",11953.003
"1997","IL",12011.509
"1998","IL",12069.774
"1999","IL",12128.37
"2000","IL",12434.161
"2001","IL",12488.445
"2002","IL",12525.556
"2003","IL",12556.006
"2004","IL",12589.773
"2005","IL",12609.903
"2006","IL",12643.955
"2007","IL",12695.866
"2008","IL",12747.038
"2009","IL",12796.778
"2010","IL",12840.503
"2011","IL",12867.454
"2012","IL",12882.51
"2013","IL",12895.129
"2014","IL",12884.493
"2015","IL",12858.913
"2016","IL",12820.527
"2017","IL",12778.828
"2018","IL",12723.071
"2019","IL",12671.821
"1958","IN",4583
"1959","IN",4613
"1960","IN",4674
"1961","IN",4730
"1962","IN",4736
"1963","IN",4799
"1964","IN",4856
"1965","IN",4922
"1966","IN",4999
"1967","IN",5053
"1968","IN",5093
"1969","IN",5143
"1970","IN",5195.392
"1971","IN",5253.396
"1972","IN",5302.435
"1973","IN",5338.277
"1974","IN",5361.89
"1975","IN",5365.766
"1976","IN",5389.088
"1977","IN",5425.638
"1978","IN",5470.214
"1979","IN",5501.174
"1980","IN",5490.721
"1981","IN",5480.435
"1982","IN",5467.922
"1983","IN",5450.395
"1984","IN",5458.322
"1985","IN",5459.211
"1986","IN",5454.108
"1987","IN",5473.012
"1988","IN",5491.735
"1989","IN",5523.693
"1990","IN",5555.097
"1991","IN",5602.062
"1992","IN",5648.649
"1993","IN",5701.965
"1994","IN",5745.626
"1995","IN",5791.819
"1996","IN",5834.908
"1997","IN",5872.37
"1998","IN",5907.617
"1999","IN",5942.901
"2000","IN",6091.866
"2001","IN",6127.76
"2002","IN",6155.967
"2003","IN",6196.638
"2004","IN",6233.007
"2005","IN",6278.616
"2006","IN",6332.669
"2007","IN",6379.599
"2008","IN",6424.806
"2009","IN",6459.325
"2010","IN",6490.432
"2011","IN",6516.528
"2012","IN",6537.703
"2013","IN",6568.713
"2014","IN",6593.644
"2015","IN",6608.422
"2016","IN",6634.304
"2017","IN",6658.078
"2018","IN",6695.497
"2019","IN",6732.219
"1958","KS",2142
"1959","KS",2160
"1960","KS",2183
"1961","KS",2215
"1962","KS",2231
"1963","KS",2217
"1964","KS",2209
"1965","KS",2206
"1966","KS",2200
"1967","KS",2197
"1968","KS",2216
"1969","KS",2236
"1970","KS",2249.071
"1971","KS",2246.6
"1972","KS",2256.375
"1973","KS",2265.603
"1974","KS",2269.499
"1975","KS",2280.578
"1976","KS",2301.001
"1977","KS",2320.647
"1978","KS",2335.657
"1979","KS",2350.906
"1980","KS",2369.039
"1981","KS",2384.849
"1982","KS",2401.202
"1983","KS",2415.531
"1984","KS",2424.086
"1985","KS",2427.405
"1986","KS",2432.619
"1987","KS",2445.367
"1988","KS",2461.996
"1989","KS",2472.849
"1990","KS",2480.683
"1991","KS",2495.209
"1992","KS",2526.042
"1993","KS",2547.605
"1994","KS",2569.118
"1995","KS",2586.942
"1996","KS",2598.266
"1997","KS",2616.339
"1998","KS",2638.667
"1999","KS",2654.052
"2000","KS",2693.681
"2001","KS",2702.162
"2002","KS",2713.535
"2003","KS",2723.004
"2004","KS",2734.373
"2005","KS",2745.299
"2006","KS",2762.931
"2007","KS",2783.785
"2008","KS",2808.076
"2009","KS",2832.704
"2010","KS",2858.19
"2011","KS",2869.225
"2012","KS",2885.257
"2013","KS",2893.212
"2014","KS",2900.475
"2015","KS",2909.011
"2016","KS",2910.844
"2017","KS",2908.718
"2018","KS",2911.359
"2019","KS",2913.314
"1958","KY",2961
"1959","KY",2999
"1960","KY",3041
"1961","KY",3054
"1962","KY",3079
"1963","KY",3096
"1964","KY",3129
"1965","KY",3140
"1966","KY",3147
"1967","KY",3172
"1968","KY",3195
"1969","KY",3198
"1970","KY",3220.711
"1971","KY",3298.053
"1972","KY",3335.728
"1973","KY",3371.024
"1974","KY",3416.315
"1975","KY",3467.769
"1976","KY",3529.257
"1977","KY",3573.693
"1978","KY",3609.976
"1979","KY",3641.804
"1980","KY",3664.221
"1981","KY",3670.394
"1982","KY",3683.445
"1983","KY",3694.484
"1984","KY",3695.453
"1985","KY",3694.826
"1986","KY",3687.809
"1987","KY",3683.329
"1988","KY",3679.999
"1989","KY",3677.306
"1990","KY",3692.584
"1991","KY",3714.686
"1992","KY",3756.358
"1993","KY",3792.288
"1994","KY",3823.215
"1995","KY",3855.248
